No.,FREQUENCY[Hz],CP[F],D[ ]
1,1.00E+00,6.26E-12,1.23109
2,1.06E+00,6.00E-12,1.12629
3,1.13E+00,8.88E-12,0.06312
4,1.20E+00,6.62E-12,0.71196
5,1.28E+00,9.58E-12,-0.34054
6,1.36E+00,1.14E-11,-0.1135
7,1.44E+00,5.26E-12,1.07685
8,1.53E+00,8.00E-12,0.20104
9,1.63E+00,6.92E-12,0.54721
10,1.73E+00,-1.94E-12,5.82242
11,1.84E+00,6.38E-12,0.34515
12,1.96E+00,1.38E-11,-0.1796
13,2.08E+00,3.47E-12,1.56535
14,2.21E+00,2.83E-12,1.379
15,2.35E+00,8.61E-13,6.20204
16,2.50E+00,5.93E-12,0.39569
17,2.66E+00,-4.79E-12,1.25578
18,2.82E+00,8.45E-12,0.22188
19,3.00E+00,5.34E-12,0.41265
20,3.19E+00,4.94E-12,0.47419
21,3.39E+00,1.30E-11,0.22004
22,3.60E+00,3.54E-12,0.64528
23,3.83E+00,3.90E-12,0.34688
24,4.07E+00,1.02E-11,0.42257
25,4.33E+00,1.36E-11,0.51232
26,4.60E+00,1.22E-11,0.70618
27,4.89E+00,4.19E-12,0.41474
28,5.20E+00,3.80E-12,0.2009
29,5.52E+00,2.96E-12,-1.08139
30,5.87E+00,8.70E-12,1.42319
31,6.24E+00,4.83E-12,0.07366
32,6.63E+00,5.40E-12,1.68674
33,7.05E+00,2.77E-12,1.48911
34,7.49E+00,5.02E-12,0.27153
35,7.97E+00,2.48E-12,1.02921
36,8.47E+00,8.97E-13,2.33409
37,9.00E+00,4.71E-12,-0.16595
38,9.57E+00,1.03E-11,-0.09429
39,1.02E+01,1.18E-11,0.21208
40,1.08E+01,2.61E-12,-0.02028
41,1.15E+01,5.36E-12,-0.05861
42,1.22E+01,7.77E-12,0.7121
43,1.30E+01,3.45E-12,-0.31232
44,1.38E+01,4.53E-12,0.62234
45,1.47E+01,5.67E-12,0.03508
46,1.56E+01,5.01E-12,0.07401
47,1.66E+01,2.74E-12,0.12381
48,1.76E+01,5.85E-12,0.5379
49,1.87E+01,5.11E-12,-0.82138
50,1.99E+01,4.13E-12,2.06928
51,2.11E+01,1.15E-12,3.1127
52,2.25E+01,5.80E-12,-0.13299
53,2.39E+01,-4.51E-13,4.84139
54,2.54E+01,2.59E-12,-1.15126
55,2.70E+01,9.55E-12,-0.22522
56,2.87E+01,-1.51E-12,2.88991
57,3.05E+01,6.82E-12,-0.37525
58,3.24E+01,2.31E-12,3.59109
59,3.45E+01,6.96E-12,-1.08721
60,3.66E+01,9.10E-12,0.65012
61,3.89E+01,-9.06E-12,-0.01605
62,4.14E+01,1.36E-11,-0.13043
63,4.40E+01,1.14E-11,-0.79395
64,4.68E+01,-4.06E-12,5.51269
65,4.97E+01,2.40E-11,0.83573
66,5.28E+01,5.42E-12,4.3038
67,5.61E+01,-2.38E-12,-5.24651
68,5.97E+01,7.46E-13,5.82234
69,6.34E+01,5.09E-12,-0.08987
70,6.74E+01,7.68E-12,0.2661
71,7.17E+01,6.90E-15,76.70941
72,7.62E+01,5.74E-12,0.54057
73,8.10E+01,4.95E-12,0.12378
74,8.61E+01,4.02E-12,-0.08844
75,9.15E+01,5.89E-12,-0.04263
76,9.72E+01,2.84E-12,0.08346
77,1.03E+02,5.51E-12,0.16268
78,1.10E+02,4.89E-12,-0.05199
79,1.17E+02,4.92E-12,0.03248
80,1.24E+02,4.41E-12,0.05467
81,1.32E+02,4.43E-12,-0.05419
82,1.40E+02,4.87E-12,0.2041
83,1.49E+02,4.10E-12,-0.03411
84,1.58E+02,4.21E-12,0.3543
85,1.68E+02,5.14E-12,0.04385
86,1.79E+02,4.63E-12,0.0031
87,1.90E+02,4.68E-12,0.02676
88,2.02E+02,4.85E-12,0.08239
89,2.15E+02,4.45E-12,0.13953
90,2.29E+02,4.36E-12,0.02633
91,2.43E+02,4.23E-12,0.04331
92,2.58E+02,4.17E-12,0.06387
93,2.74E+02,4.34E-12,0.00271
94,2.92E+02,4.11E-12,0.027
95,3.10E+02,4.02E-12,0.07164
96,3.30E+02,4.15E-12,0.0277
97,3.50E+02,4.34E-12,0.06279
98,3.72E+02,4.05E-12,0.0675
99,3.96E+02,4.32E-12,0.04204
100,4.21E+02,4.24E-12,0.0397
101,4.47E+02,4.21E-12,0.02844
102,4.75E+02,4.23E-12,0.0393
103,5.05E+02,4.20E-12,0.04247
104,5.37E+02,4.18E-12,0.04162
105,5.71E+02,4.13E-12,0.03813
106,6.07E+02,4.17E-12,0.0327
107,6.45E+02,4.09E-12,0.03945
108,6.86E+02,4.15E-12,0.02419
109,7.29E+02,4.17E-12,0.04273
110,7.75E+02,4.14E-12,0.02585
111,8.23E+02,4.10E-12,0.04289
112,8.75E+02,4.13E-12,0.04329
113,9.30E+02,4.17E-12,0.03704
114,9.89E+02,4.14E-12,0.03165
115,1.05E+03,4.12E-12,0.03276
116,1.12E+03,4.14E-12,0.02746
117,1.19E+03,4.15E-12,0.02674
118,1.26E+03,4.13E-12,0.02729
119,1.34E+03,4.12E-12,0.02721
120,1.43E+03,4.13E-12,0.02438
121,1.52E+03,4.12E-12,0.02509
122,1.61E+03,4.11E-12,0.02544
123,1.71E+03,4.11E-12,0.02199
124,1.82E+03,4.11E-12,0.02326
125,1.93E+03,4.10E-12,0.02334
126,2.06E+03,4.11E-12,0.02312
127,2.19E+03,4.10E-12,0.02007
128,2.32E+03,4.10E-12,0.01972
129,2.47E+03,4.10E-12,0.02216
130,2.63E+03,4.10E-12,0.0197
131,2.79E+03,4.09E-12,0.01981
132,2.97E+03,4.08E-12,0.01902
133,3.15E+03,4.09E-12,0.0207
134,3.35E+03,4.09E-12,0.01889
135,3.56E+03,4.08E-12,0.01817
136,3.79E+03,4.08E-12,0.01833
137,4.02E+03,4.08E-12,0.01836
138,4.28E+03,4.08E-12,0.01681
139,4.55E+03,4.08E-12,0.01529
140,4.83E+03,4.07E-12,0.01607
141,5.14E+03,4.07E-12,0.01717
142,5.46E+03,4.07E-12,0.01559
143,5.80E+03,4.07E-12,0.01541
144,6.17E+03,4.06E-12,0.01615
145,6.56E+03,4.06E-12,0.01529
146,6.97E+03,4.06E-12,0.01531
147,7.41E+03,4.06E-12,0.01521
148,7.88E+03,4.05E-12,0.01526
