Time (s),Response (M ohm),LA Concentration (mM),distance between electrode (mm)
20,12.9,1.11,1
40,12.0,1.11,1
60,11.9,1.11,1
80,11.9,1.11,1
100,11.9,1.11,1
120,11.9,1.11,1
20,0.018300,1.11,3
40,0.015500,1.11,3
60,0.015500,1.11,3
80,0.015600,1.11,3
100,0.015600,1.11,3
120,0.015600,1.11,3
20,0.035400,1.11,5
40,0.026600,1.11,5
60,0.025000,1.11,5
80,0.024300,1.11,5
100,0.024200,1.11,5
120,0.023800,1.11,5
20,0.0108000,1.11,7
40,0.049200,1.11,7
60,0.048800,1.11,7
80,0.048700,1.11,7
100,0.048500,1.11,7
120,0.055700,1.11,7
