,AA Concentration(mg),Synthesis Temperature(?),Synthesis Duration (min),,u,rho,SIGMA,Rs
1,25,65,60,10uA,31.6,40.6,0.0246,677000
2,100,65,60,1mA,21.6,0.231,4.34,3840
3,100,65,60,100nA,2.95,1280,0.000784,21300000
4,100,65,60,10nA,415,2410,0.000414,40200000
5,50,65,60,1mA,271,0.0858,11.7,1430
6,50,40,60,1uA,25.2,2120,0.000473,35300000
7,50,60,60,1uA,271,85.8,0.0117,1430000
8,50,80,60,1uA,577,8.88,0.113,148000
9,50,100,60,1mA,2.68,3.23,0.31,53800
10,50,100,60,10uA,2.68,323,0.0031,5380000
11,50,65,10,1mA,0.00000757,810000,0.00000123,13500000000
12,50,65,20,1mA,14.2,0.0873,11.5,1460
13,50,65,30,1mA,497,0.138,7.24,2300
14,50,65,30,1uA,497,138,0.00724,2300000
15,50,65,40,1mA,2800,0.00342,293,56.9
16,50,65,50,1mA,102,0.0584,17.1,974
17,50,65,60,10nA,271,8580,0.000117,143000000
18,50,65,60,100uA,271,0.858,1.17,14300
19,50,65,60,10uA,271,8.58,0.117,143000
20,50,65,60,100nA,271,858,0.00117,14300000
21,50,65,60,10nA,271,8580,0.000117,143000000
22,50,65,60,1nA,271,85800,0.0000117,1430000000
23,50,80,60,100nA,162,16.9,0.0594,281000
24,50,80,60,10nA,813,46.6,0.0215,776000
25,50,80,60,1nA,281,1440,0.000697,23900000
26,50,100,60,10mA,2.68,0.323,3.1,5380
27,50,100,60,100uA,2.68,32.3,0.031,538000
28,50,100,60,1uA,2.68,3230,0.00031,53800000
29,50,100,60,100nA,2.68,32300,0.000031,538000000
30,50,100,60,10nA,2.68,323000,0.0000031,5380000000
31,50,100,60,1nA,0.0121,267000000,3.75E-09,4.44E+12
32,50,65,10,10mA,0.00000757,81000,0.0000123,1350000000
33,50,65,10,100uA,0.00000757,8100000,0.000000123,1.35E+11
34,50,65,10,10uA,0.00000757,81000000,1.23E-08,1.35E+12
35,50,65,10,1uA,0.00000757,810000000,1.23E-09,1.35E+13
36,50,65,10,100nA,0.00000757,0.00000757,1.23E-10,1.35E+14
37,50,65,10,10nA,80.1,812,0.00123,13500000
38,50,65,10,1nA,1400,5030,0.000199,83900000
39,50,65,20,10mA,14.2,0.00873,115,146
40,50,65,20,100uA,14.2,0.873,1.15,14600
41,50,65,20,10uA,14.2,8.73,0.115,146000
42,50,65,20,1uA,14.2,87.3,0.0115,1460000
43,50,65,20,100nA,14.2,873,0.00115,14600000
44,50,65,20,10nA,34.4,10800,0.0000925,180000000
45,50,65,20,1nA,1140,9560,0.000105,159000000
46,50,65,30,10mA,497,0.0138,72.4,230
47,50,65,30,100uA,497,1.38,0.724,23000
48,50,65,30,10uA,497,13.8,0.0724,230000
49,50,65,30,100nA,497,1380,0.000724,23000000
50,50,65,30,10nA,20.2,26400,0.0000379,440000000
51,50,65,30,1nA,0.0809,14200000,7.05E-08,2.37E+11
52,25,65,60,10mA,31.6,0.0406,24.6,677
53,25,65,60,1mA,31.6,0.406,2.46,6770
54,25,65,60,100uA,31.6,4.06,0.246,67700
55,25,65,60,10uA,31.6,40.6,0.0246,677000
56,25,65,60,100nA,31.6,4060,0.000246,67700000
57,25,65,60,10nA,31.6,40600,0.0000246,677000000
58,25,65,60,1nA,31.6,406000,0.00000246,6770000000
59,50,40,60,10mA,25.2,0.212,4.73,3530
60,50,40,60,1mA,25.2,2.12,0.473,35300
61,50,40,60,100uA,1.15,512,0.00196,8530000
62,50,40,60,10uA,25.2,212,0.00473,3530000
63,50,40,60,100nA,1.15,512000,0.00000196,8530000000
64,50,40,60,10nA,44.7,36100,0.0000277,601000000
65,50,40,60,1nA,1.15,51200000,1.96E-08,8.53E+11

