Time (s),Response (M ohm),LA Conc.(mM),electrode gap (mm)
1,14.9179,0.055,1
20,1.48E+07,0.055,1
40,1.46E+07,0.055,1
60,1.44E+07,0.055,1
80,1.43E+07,0.055,1
100,1.43E+07,0.055,1
120,1.45E+07,0.055,1
140,1.44E+07,0.11,1
160,1.38E+07,0.11,1
180,1.39E+07,0.11,1
200,1.39E+07,0.11,1
220,1.38E+07,0.11,1
240,1.38E+07,0.11,1
260,1.37E+07,0.55,1
280,1.31E+07,0.55,1
300,1.32E+07,0.55,1
320,1.32E+07,0.55,1
340,1.30E+07,0.55,1
360,1.32E+07,0.55,1
380,1.29E+07,1.11,1
400,1.20E+07,1.11,1
420,1.19E+07,1.11,1
440,1.19E+07,1.11,1
460,1.19E+07,1.11,1
480,1.19E+07,1.11,1
500,1.18E+07,5.55,1
520,1.02E+07,5.55,1
540,1.00E+07,5.55,1
560,1.00E+07,5.55,1
580,1.00E+07,5.55,1
600,1.00E+07,5.55,1
620,9.94E+06,11.1,1
640,7.61E+06,11.1,1
660,7.52E+06,11.1,1
680,7.41E+06,11.1,1
700,7.25E+06,11.1,1
720,7.21E+06,11.1,1
740,7.24E+06,11.1,1
20,18300,1.11,3
40,15500,1.11,3
60,15500,1.11,3
80,15600,1.11,3
100,15600,1.11,3
120,15600,1.11,3
20,35400,1.11,5
40,26600,1.11,5
60,25000,1.11,5
80,24300,1.11,5
100,24200,1.11,5
120,23800,1.11,5
20,108000,1.11,7
40,49200,1.11,7
60,48800,1.11,7
80,48700,1.11,7
100,48500,1.11,7
120,55700,1.11,7
