Vgate,	 Vdrain,	 Idrain,	 IdrainPerWg,	 gm,	 gmPerWg,
0	2	1.16E-05	1.16E-06	2.56E-06	2.56E-07
0.1	2	1.19E-05	1.19E-06	2.31E-06	2.31E-07
0.2	2	1.21E-05	1.21E-06	1.71E-06	1.71E-07
0.3	2	1.22E-05	1.22E-06	1.47E-06	1.47E-07
0.4	2	1.24E-05	1.24E-06	1.35E-06	1.35E-07
0.5	2	1.25E-05	1.25E-06	1.16E-06	1.16E-07
0.6	2	1.26E-05	1.26E-06	1.12E-06	1.12E-07
0.7	2	1.27E-05	1.27E-06	9.57E-07	9.57E-08
0.8	2	1.28E-05	1.28E-06	9.10E-07	9.10E-08
0.9	2	1.29E-05	1.29E-06	8.66E-07	8.65E-08
1	2	1.30E-05	1.30E-06	9.49E-07	9.49E-08
1.1	2	1.31E-05	1.31E-06	9.03E-07	9.03E-08
1.2	2	1.32E-05	1.32E-06	7.04E-07	7.04E-08
1.3	2	1.32E-05	1.32E-06	8.32E-07	8.32E-08
1.4	2	1.33E-05	1.33E-06	7.59E-07	7.60E-08
1.5	2	1.34E-05	1.34E-06	6.26E-07	6.26E-08
1.6	2	1.35E-05	1.35E-06	5.64E-07	5.64E-08
1.7	2	1.35E-05	1.35E-06	8.20E-07	8.20E-08
1.8	2	1.36E-05	1.36E-06	9.74E-07	9.74E-08
1.9	2	1.37E-05	1.37E-06	5.26E-07	5.26E-08
2	2	1.37E-05	1.37E-06	6.83E-07	6.83E-08
2.1	2	1.38E-05	1.38E-06	8.94E-07	8.94E-08
2.2	2	1.39E-05	1.39E-06	5.88E-07	5.88E-08
2.3	2	1.39E-05	1.39E-06	5.17E-07	5.17E-08
2.4	2	1.40E-05	1.40E-06	6.00E-07	6.00E-08
2.5	2	1.41E-05	1.41E-06	6.47E-07	6.47E-08
2.6	2	1.41E-05	1.41E-06	5.78E-07	5.77E-08
2.7	2	1.42E-05	1.42E-06	5.93E-07	5.93E-08
2.8	2	1.43E-05	1.43E-06	6.00E-07	6.00E-08
2.9	2	1.43E-05	1.43E-06	5.38E-07	5.38E-08
3	2	1.44E-05	1.44E-06	6.81E-07	6.80E-08
3.1	2	1.44E-05	1.44E-06	6.78E-07	6.78E-08
3.2	2	1.45E-05	1.45E-06	4.94E-07	4.95E-08
3.3	2	1.45E-05	1.45E-06	6.23E-07	6.23E-08
3.4	2	1.46E-05	1.46E-06	7.14E-07	7.14E-08
3.5	2	1.47E-05	1.47E-06	5.57E-07	5.57E-08
3.6	2	1.47E-05	1.47E-06	4.53E-07	4.52E-08
3.7	2	1.48E-05	1.48E-06	5.15E-07	5.15E-08
3.8	2	1.48E-05	1.48E-06	5.39E-07	5.39E-08
3.9	2	1.49E-05	1.49E-06	5.34E-07	5.34E-08
4	2	1.49E-05	1.49E-06	5.23E-07	5.23E-08
4.1	2	1.50E-05	1.50E-06	5.96E-07	5.96E-08
4.2	2	1.51E-05	1.51E-06	6.96E-07	6.96E-08
